embed_dim,window,lr,share,epoch,loss,ppl,type
100,2,0.001,False,0,6.926579354173046,1019.0023650511217,train
100,2,0.001,False,0,6.708008981218525,818.9384932519961,eval
100,2,0.001,False,0,6.6288743923450335,756.6300225941893,test
100,2,0.001,False,1,6.736619395724798,842.7070559115467,train
100,2,0.001,False,1,6.589186041962867,727.188727832592,eval
100,2,0.001,False,1,6.5074296162046235,670.1017832895793,test
100,2,0.001,False,2,6.6179230334395065,748.3891026565537,train
100,2,0.001,False,2,6.528868245143516,684.6229475244589,eval
100,2,0.001,False,2,6.447690412915986,631.2426979482846,test
100,2,0.001,False,3,6.52233341184713,680.163636986204,train
100,2,0.001,False,3,6.491594884909835,659.5744701644878,eval
100,2,0.001,False,3,6.411179460328201,608.6110905368904,test
100,2,0.001,False,4,6.439805034863746,626.2846842289409,train
100,2,0.001,False,4,6.467805899825751,644.0690235752706,eval
100,2,0.001,False,4,6.387950888995467,594.6368535174014,test
100,2,0.001,False,5,6.366141088938309,581.8083447458032,train
100,2,0.001,False,5,6.452760817957859,634.4514821498522,eval
100,2,0.001,False,5,6.373282473662804,585.9781332822645,test
100,2,0.001,False,6,6.299140190674087,544.1038833546969,train
100,2,0.001,False,6,6.443945576162899,628.8832177843142,eval
100,2,0.001,False,6,6.364676993468712,580.9571450549436,test
100,2,0.001,False,7,6.237568208726786,511.6128612853647,train
100,2,0.001,False,7,6.4397776734595205,626.267548434966,eval
100,2,0.001,False,7,6.36059414929357,578.5900231424554,test
100,2,0.001,False,8,6.1805689011589955,483.2668092111821,train
100,2,0.001,False,8,6.439169537787344,625.8868085809138,eval
100,2,0.001,False,8,6.36007231679456,578.2881748287563,test
100,2,0.001,False,9,6.127547627788479,458.3108326321205,train
100,2,0.001,False,9,6.441411055770575,627.2913186470319,eval
100,2,0.001,False,9,6.362393666957987,579.6321434853163,test
100,2,0.001,False,10,6.078044168019699,436.17527437759844,train
100,2,0.001,False,10,6.445944430781346,630.1415210723611,eval
100,2,0.001,False,10,6.366977642322409,582.2952621232915,test
100,2,0.001,False,11,6.031659869824425,416.4056352141466,train
100,2,0.001,False,11,6.4523223428165215,634.1733519275949,eval
100,2,0.001,False,11,6.373409139698949,586.0523615106736,test
100,2,0.001,False,12,5.988039424863913,398.6322947183623,train
100,2,0.001,False,12,6.460224151611328,639.2043191907937,eval
100,2,0.001,False,12,6.381333088052684,590.7146576577743,test
100,2,0.001,False,13,5.946902380151264,382.56645630584393,train
100,2,0.001,False,13,6.4693932626761645,645.0922066829786,eval
100,2,0.001,False,13,6.39046886871601,596.1360237036198,test
100,2,0.001,False,14,5.908025717331191,367.9789433341576,train
100,2,0.001,False,14,6.479589125689338,651.7031231826325,eval
100,2,0.001,False,14,6.400590206014699,602.2003552782716,test
100,2,0.001,False,15,5.8712034952842584,354.67557389519055,train
100,2,0.001,False,15,6.4906060461904485,658.9225797504296,eval
100,2,0.001,False,15,6.411511569187559,608.8132492394514,test
100,2,0.001,False,16,5.836253513724117,342.4937857438549,train
100,2,0.001,False,16,6.502267996470134,666.6518838946743,eval
100,2,0.001,False,16,6.423080542991901,615.897493476195,test
100,2,0.001,False,17,5.803026963088472,331.30087919934925,train
